Date,SSE PLC,Orsted,Iberdrola SA,E.ON SE,Siemens Gamesa Renewable Energy S.A.,Duke Energy,Endesa S.a.,Enel spA,Engie SA,General Electric Company,ABB ltd,Alliant Energy corp,China Longyuan power group corp,nextera energy inc,Siemens AG,RWE AG,SKF AB,Verbund AG,NextEra Energy partners LP,Koninklijke DSM N.V.,SP 500,portfolio,SP 500 values,portfolio values,portfolio values R,SP 500 values R
2021-01-25,-0.040723982,-0.069006781,-0.040737564,0.006436782,-0.103711766,0.041089822,-0.037408759,-0.018454164,-0.022493328,-0.03870387,-0.030233322,-0.015381461,-0.098412698,-0.039662701,-0.028030303,-0.042356774,-0.022998334,0.08701555,-0.041063632,-0.020408163,-0.021228449,-0.03,404.72,509.4941446,97.16488922,93.26
2021-01-18,0.018098059,0.069995732,-0.021401595,-0.016726944,0.074486837,-0.019758984,-0.025344598,-0.058020093,-0.036724201,-0.019417476,0.036797274,-0.001212876,0.220930233,0.026450487,0.098169717,-0.011009667,0,-0.057051244,0.032183655,0.037769149,0.023130164,0.02,413.5,524.5823243,93.44542791,91.16
2021-01-11,-0.057382134,-0.13318535,-0.047181128,-0.03342801,-0.082346663,0.02287618,-0.012730509,-0.008838666,0.023299511,-0.000881834,-0.030072703,0.002431672,-0.10880829,0.011216616,-0.028922281,-0.034983156,0.0222029,0.121495279,0.032346965,-0.009094089,-0.007895614,-0.02,404.15,515.6052891,95.64087274,94.72
2021-01-04,0.074666667,0.086851628,0.068803419,0.008371888,0.094228536,-0.016491918,0.019239418,0.079990333,0.062699681,0.05,0.082260372,-0.042305473,0.473282443,0.05158775,0.050407332,0.116285797,0.076382397,0.045864707,0.189560006,0.015269886,0.026844526,0.08,407.37,524.8421351,97.37290033,95.69
2020-12-28,-0.014454665,0.045397226,0.02005231,0.010013351,0.037263193,0.021077283,-0.020595968,0.000604522,-0.006349206,0.014084507,0.011211573,0.030187905,0.114893617,0.028941036,0.007179487,0.024599881,0.000468781,0.072580645,0.013758754,-0.00141844,-0.009081882,0.02,396.72,486.2586116,98.70026521,96.44
2020-12-21,0.026990553,0.071139127,0.005258545,-0.007289596,0.095716302,-0.007196634,0.005286299,0.013602941,-0.001980198,-0.01480111,0.012449652,-0.020176279,0.044444444,0.006307891,-0.002047083,0.004764741,-0.010667917,0.050847458,0.029576604,0.010390541,0.01171649,0.02,400.36,476.5023267,98.42864129,98.74
2020-12-14,0.058193502,0.037850467,0.014222222,0.017303371,0.048421018,-0.013327507,-0.010893246,0.013790533,0.023095624,-0.031362007,0.020934579,-0.012763489,0.125,0.009620582,0.042689434,0.016036309,0.009836094,0.017241379,0.013728878,0.031030661,0.008775245,0.02,395.72,469.1688359,100.4224647,100.08
2020-12-07,0.010097367,0.033317238,0.004464286,-0.014832854,-0.027303721,0.004278662,0.014588859,-0.019132342,-0.0128,0.025735294,-0.012550757,-0.022125605,-0.113737075,0.017650387,-0.007590468,-0.03559965,-0.002336449,-0.013605425,0.010363488,0.013478098,-0.012002471,-0.01,392.28,459.279438,100.6623793,102.07
2020-11-30,0.004710145,-0.080781181,-0.023539669,-0.014401047,-0.021049148,-0.036469345,-0.06875257,-0.034815338,-0.001597444,0.046153846,0.018421053,0.002274507,0.019578313,-0.034739786,0.006216696,-0.012960829,-0.004651163,0.037037001,-0.028350146,-0.025182482,0.019416666,-0.01,397.04,462.6950684,101.2384539,99.67
2020-11-23,0.009879254,-0.008362676,0.00218436,0.004823504,0.072759857,0.021818967,-0.021353707,0.032673388,0.02918208,0.06557377,-0.001876173,-0.002080594,0.053968254,-0.005559311,0.024567789,-0.008,0.056511057,0.050000019,0.010963274,-0.045296167,0.012868593,0.02,389.48,468.6207446,100.8521275,100.86
2020-11-16,0.003303965,0.023423423,0.002628121,-0.023967473,0.031042167,-0.025268478,0.027743271,0.026558603,-0.01097561,0.055135135,-0.012962963,-0.059252704,-0.006309148,-0.021246262,-0.030351156,0.000285796,-0.021634615,0.007462724,-0.018447424,0.002444988,-0.014093874,0,384.53,460.7335179,102.7554145,104.72
2020-11-09,0.0248307,0.038353601,0.039617486,0.014766558,0.067034619,0.016481164,-0.009433922,0.039937759,0.114635251,0.143386897,0.009345794,0.02986991,0.108391608,0.019413642,0.043646409,0.04261025,0.068310237,0.083265926,-0.014244507,-0.036351397,0.022591406,0.04,390.03,461.8972135,103.5585134,105.69
2020-11-02,0.058964143,0.053721045,0.084444444,0.027672395,0.03089435,0.014439257,0.059539287,0.128475271,0.062590274,0.090296496,0.101276245,-0.012843687,0.079245283,0.034284962,0.079737522,0.056342461,0.068605929,-0.051198502,0.050796163,0.080756639,0.073773426,0.05,381.41,443.1972164,104.4724418,109.36
2020-10-26,-0.061331339,0.041153505,-0.05418029,-0.056631579,-0.005658852,-0.007221384,-0.045624262,-0.097106619,-0.086229652,-0.027522936,-0.070417145,-0.024527952,-0.001883239,-0.033754617,-0.080285296,-0.043072289,-0.04356957,0.001921287,-0.03503385,-0.027246992,-0.027078001,-0.04,355.21,420.1311751,106.7589571,105.87
2020-10-19,-0.005208333,-0.051217114,-0.032097649,-0.023638232,-0.044787645,0.004438671,0.000414979,0.005579912,-0.031942078,0.046639232,-0.022812266,0.032428476,-0.023897059,-0.008278796,-0.01299639,-0.020070838,-0.00807083,-0.013270161,-0.010190084,-0.035823951,-0.00766058,-0.01,365.09,436.6864626,104.2051979,105.02
2020-10-12,0.037037037,0.027,0.024074074,-0.002051282,0.014492714,-0.009967846,0.033891078,0.000398724,-0.032948929,0.065789474,-0.004096834,0.002740172,-0.03202847,0.008880539,-0.005385996,0.008933889,-0.011325596,0.092132528,-0.022595467,0.010689655,-0.029566107,0.01,367.91,442.3216438,103.1215142,108.33
2020-10-05,0.007384376,0.063151207,0.007932804,0.007231405,0.044171777,0.018781393,0.008654175,0.007498661,0.059336824,0.070422535,0.037079954,0.031079337,0.161157025,0.077319739,0.049557189,0.002986858,0.035447728,0.038709656,0.140362684,-0.010576595,0.037290978,0.04,379.12,437.819557,104.5343151,108.36
2020-09-28,0.081092437,0.068863609,0.031776601,0.037513398,0.113388074,0.110464411,0.008289747,0.018132243,0.03057554,0.045826514,0.031885213,0.033885143,0.040860215,-0.002306422,-0.056533333,0.068965517,0.061386173,0.017060345,0.010448801,0.090807592,0.016667189,0.04,365.49,419.815985,104.025219,105.72
2020-09-21,-0.020576132,0.02731733,-0.006220096,-0.037151703,-0.004984187,-0.005786618,-0.001742117,-0.011455526,-0.040965934,-0.111918605,-0.029775715,0.007257709,-0.056795132,0.017694626,-0.044991511,0.012281836,-0.064814815,0.015548667,0.01248701,-0.027858177,0.02208154,-0.02,359.5,402.8483776,104.9448973,107.42
2020-09-14,-0.001643385,-0.00557238,-0.014150943,-0.025347013,-0.00675063,-0.000963507,-0.026293511,-0.031331593,-0.015286624,0.156302521,-0.011089866,-0.016968781,-0.002024291,-0.004422003,0.003407155,-0.036437247,0.004784657,0.004910737,-0.003112033,0.008023341,-0.033947853,0,351.73,410.4927604,106.2733709,105.97
2020-09-07,0.012058212,0.015562381,0.012900143,0.001208459,0.009541072,0.025441522,0.029244871,0.033459255,0.011597938,-0.073208723,0.015928516,-0.026834302,0.008163265,0.002992875,0.008071441,0.017104846,0.047035972,-0.026086978,0.032304141,0.032768362,-0.011997594,0.01,364.09,410.9852315,106.1591137,106.12
2020-08-31,-0.044876886,-0.040497724,-0.021962617,0.001613879,-0.019162254,0.015807301,-0.016738155,-0.029842932,0.045352492,-0.028744327,-0.003098373,-0.01896169,0.00204499,-0.007977035,-0.016717325,-0.039549741,0.043869772,0.017248982,-0.071582422,-0.008958567,-0.019295156,-0.01,368.51,407.1326721,107.4273778,108.09
2020-08-24,-0.029298381,-0.004504505,-0.01063338,0.009777959,-0.015789387,-0.015925926,-0.005972781,-0.011770793,-0.004470273,0.047543582,-0.000773994,0.004437833,-0.029761905,-0.010127177,0.020858473,0.008901166,0.021365021,-0.008333268,-0.027083686,0.014004542,0.018634039,0,375.76,412.1345979,109.943432,107.5
2020-08-17,-0.003840246,-0.001798534,-0.014129444,-0.017610566,-0.003496504,-0.013998783,-0.021702755,-0.019530755,-0.048085106,-0.052552553,-0.011476664,0.005765334,-0.052631579,0.006809283,0.001380977,-0.04792519,-0.014331659,0.013333289,-0.004972746,0.011872846,0.01482646,-0.01,368.89,413.1169255,109.5333931,109.12
2020-08-10,-0.020316027,-0.00669942,0.009199632,0.011333738,0.100000005,-0.051495208,-0.000417188,0.008957134,0.010752688,0.040625,0.005771451,-0.017361129,-0.089041096,-0.025297102,0,0.032277526,0.025187388,0.008968655,-0.013139117,0.015953307,0.006973201,0,363.5,419.1723172,110.627776,111.53
2020-08-03,0.021521906,-0.005993367,-0.004578755,-0.006035003,0.013645175,0.022067501,-0.002911897,0.011126925,0.029672276,0.054365733,0.040016006,0.016156045,0.052252252,0.025222614,0.082196899,0.039836888,0.03282752,0.015945238,0.015594807,-0.008487654,0.020621058,0.02,360.98,418.2258671,109.8842727,109.82
2020-07-27,-0.020331325,-0.004639872,-0.011317338,-0.038491296,0.055555501,0.023553569,0.006700252,-0.027064451,0.033882784,-0.11516035,-0.029137529,0.013742451,0.23059867,0.001605752,-0.045811052,-0.030708422,-0.039274061,-0.002272682,0.038050786,-0.005372218,0.017232869,0,353.69,409.1340672,110.721567,110.32
2020-07-20,-0.075208914,0.035697954,-0.00360848,-0.010999522,0.019134992,0.00473301,-0.023312964,-0.057315771,-0.020188425,-0.02970297,0.039579968,0.046287158,-0.023809524,0.017684639,0.002680965,0.001827597,-0.097718105,0.062801881,0.025325103,0.012825496,-0.00339173,0,347.7,408.437494,107.3199117,108.57
2020-07-13,0.087055261,0.025580835,0.033084809,0.042892768,0.098473999,0.013280866,0.024727576,0.049439601,0.019670631,0.056801196,0.011024908,0.035277304,-0.010706638,0.060785807,0.038033395,0.021786492,0.024477431,0.017199041,0.063512246,0.015791552,0.030110568,0.04,348.88,409.939634,108.5100338,111.73
2020-07-06,-0.028676471,0.069528144,0,-0.023380419,0.068944225,-0.006353861,0.015319191,0.01981204,-0.039964866,-0.019061584,0.045241144,-0.007689134,0.056561086,0.053571495,0.013920241,0.010695187,0.040045766,0.030379772,0.022515797,0.014011209,-0.006970484,0.02,338.68,395.5383004,108.6576135,112.84
2020-06-29,-0.002566923,0.053689468,0.0687251,0.05520148,0.036033227,0.036868111,0.036612263,0.030763189,0.044974759,0.052469136,0.079226163,0.050371925,-0.017777778,0.043095386,0.043580683,0.012098058,0.005464463,-0.024691358,0.071585241,0.02545156,0.041351893,0.04,341.06,389.0141641,109.423775,112.99
2020-06-22,-0.017297297,0.0031839,-0.014720314,-0.025836171,0.042206713,-0.038728535,0.011150758,0.005131579,-0.031555556,-0.093706294,0.018292683,-0.019587476,0.004464286,-0.024730638,-0.013173189,0.008346709,0.003173705,0.051401869,-0.034834431,0.000821693,-0.019831318,-0.01,327.52,375.8377773,108.0258,111.48
2020-06-15,0.120306823,0.00613985,0.045128205,0.029484536,0.004339119,-0.053377911,0.04619692,0.034717495,0.026928343,-0.013793103,0.021562051,-0.011534439,0.064133017,-0.01903526,0.054545455,0.052364865,0.023324457,-0.053562677,0.05246101,0.023549201,0.011626794,0.02,334.14,378.9832627,110.1472851,114.02
2020-06-08,-0.038058252,-0.036522589,-0.027916251,-0.030484758,-0.034171502,-0.03072969,-0.052608353,-0.030746899,-0.062874251,-0.079949239,-0.034690102,-0.041271723,0,-0.029365516,-0.091668213,-0.026635975,-0.087061962,0.016483516,-0.058543098,0.00677392,-0.049969132,-0.04,330.3,370.5735054,111.2922447,113.15
2020-06-01,0.037051953,-0.011692949,0.035301404,0.053157895,0.02173913,0.04507766,0.059484824,0.098101724,0.099200752,0.199391172,0.099694812,0.025931888,0.116710875,-0.00461728,0.10204499,0.016037421,0.073495352,0.056464351,0.026022265,0.026510213,0.057764767,0.06,347.68,385.4126826,112.2835432,112.88
2020-05-25,0.049007182,0.060949317,0.071918566,-0.006483999,0.077742279,0.028835756,0.054841897,0.076599064,0.082773366,0.024960998,0.04741609,0.064251831,0.058988764,0.092837234,0.045542014,0.025702536,0.106274048,-0.098477614,0.03044361,-0.000868432,0.034220099,0.04,328.69,364.0242821,111.745416,113.59
2020-05-18,-0.032693094,0.051616511,0.06304399,0.06079432,0.002847989,0.025126247,0.016064257,0.112654053,0.047568259,0.167577413,0.062853907,0.009357998,-0.024657534,0.026333113,0.082764209,0.061090909,0.059342151,-0.017756963,0.06164377,0.038322813,0.001491532,0.04,317.81,348.4610614,113.100511,115.75
2020-05-11,-0.009712667,0.013218408,-0.033863636,-0.014863388,0.031582813,-0.007214478,-0.017751528,-0.070806452,-0.043070014,-0.12718601,-0.0365521,-0.042508875,-0.039473684,-0.008183468,-0.022737557,0.013638039,-0.059029995,0.040856032,-0.075217716,-0.034812881,0.008547009,-0.03,317.34,333.8725933,113.7350191,115.72
2020-05-04,-0.0116,0.016058394,-0.037199125,0.001751697,0.02793507,-0.010406583,0.001481531,-0.005772931,-0.010702746,-0.032307692,-0.003262643,0.015661418,-0.018087855,0.011803532,0.052506251,0.036683225,0.007393082,0.063631635,0.022258236,0.028187919,0.031491317,0.01,314.65,343.2023635,113.0043635,115.75
2020-04-27,0.036914144,-0.039809396,0.047444419,0.051335175,-0.015241636,-0.035593418,0.036866306,0.056949153,0.07116591,0.038338658,0.056289489,-0.054621849,0.081005587,-0.052774269,0.0657277,0.041799363,0.006470398,0.004155844,0.025311141,-0.012809187,-0.012123258,0.02,305.05,340.5458941,114.9623727,117.96
2020-04-20,-0.012290045,0.037220175,-0.02871772,-0.018305085,-0.016812865,-0.048945616,-0.000767409,-0.049766468,-0.025916561,-0.084795322,-0.014714205,-0.054662362,-0.082051282,-0.026638513,-0.029433498,-0.003965107,0.11347262,-0.013831992,0.049423057,0.009812667,0.019389865,-0.02,308.79,333.722544,115.6386982,119.58
2020-04-13,-0.022426912,0.050718016,-0.013614405,-0.004499438,0.002932551,-0.002325324,-0.018825301,-0.03781187,-0.039854339,-0.042016807,-0.023756906,-0.005080918,0,0.003995417,-0.009756098,-0.019440124,-0.011747911,0.035543766,0.051029724,0.042305904,0.021511978,0,302.92,338.8336038,116.7345958,120.96
2020-04-06,0.163560112,0.014883684,0.00640884,0.018094366,0.005899705,0.187976848,0.079967471,0.063272368,0.136583123,0.060921248,0.09896782,0.176965596,0.010362694,0.106659448,0.07498689,0.122164049,0.113357073,0.131452611,0.153947773,0.031160115,0.040776333,0.09,296.54,339.932111,116.8788808,121.79
2020-03-30,-0.149088025,-0.022134591,0.02537956,-0.05045672,0.004444444,-0.052001496,-0.048,-0.01397238,-0.11677498,-0.1167979,-0.096048299,-0.05445022,-0.035,-0.044449218,0.032345378,-0.016309013,-0.005126191,-0.123157895,-0.055846471,0.059313427,0.012268263,-0.04,284.92,312.4721831,119.0427482,122.88
2020-03-23,0.095093356,0.087730788,0.009839817,0.121326667,0.08,0.172368421,0.13370392,0.045168959,-0.053531956,0.168711656,0.14160401,0.173218644,0.078167116,0.209647958,0.122948328,0.095954845,0.016840466,0.221079652,0.063925728,0.038169549,0.173581509,0.1,281.47,326.8217939,119.5962041,124.65
2020-03-16,-0.112865948,0.024324365,0.021028037,-0.054748732,0.033912324,-0.202518363,0.000292713,0.048051255,-0.007629948,-0.169426752,-0.094211124,-0.200392939,-0.116666667,-0.134545931,-0.078431373,-0.110832288,-0.078344462,-0.19835134,-0.203128298,0.027741656,-0.07046074,-0.08,239.83,296.8143401,119.3332785,122.6
2020-03-09,-0.175873016,-0.172259522,-0.192071732,-0.18351214,-0.062427297,-0.1340737,-0.263894884,-0.28792295,-0.298427568,-0.164893617,-0.161750714,-0.114628627,-0.0625,-0.184901812,-0.184,-0.232916266,-0.115975169,-0.093837535,-0.191282034,-0.135550351,-0.125369229,-0.17,258.01,322.7425716,119.9289322,123.15
2020-03-02,0.030085023,0.028472803,0.026647287,0.019769674,-0.110996208,0.080152672,-0.000860999,0.041578669,-0.005655356,-0.136029412,-0.028650647,0.103031525,0.098039216,0.07540755,-0.048913043,0.013658537,-0.088988077,-0.126070991,0.014392267,0.049140049,-0.112782638,0,295,389.1441656,120.506413,123.85
2020-02-24,-0.09311981,-0.096648435,-0.076923077,-0.077876106,-0.04729064,-0.104754466,-0.101006192,-0.102794884,-0.094305459,-0.111836735,-0.097957482,-0.118701389,-0.099337748,-0.089448468,-0.125475285,-0.106104651,-0.102803738,0.019550706,-0.055054908,-0.123222749,-0.04134364,-0.09,332.5,388.4796607,121.147379,123.27
2020-02-17,0.016274864,0.03606997,0.02994012,0.01710171,-0.025911708,0.01135466,0.029482072,0.020176392,0.02850939,-0.045206547,-0.008267879,-0.010043572,-0.015217391,-0.003339049,-0.013318327,0.03055722,-0.017833696,0.037548597,0.016150483,0.003458712,-0.044964433,0.01,346.84,427.0206558,123.3610889,124.96
2020-02-10,0.035580524,0.023415978,0.056447689,0.039289055,0.03338843,0.052041134,0.004401761,0.012229424,0.031649616,0,-0.003296251,0.024172809,-0.010752688,0.033315945,-0.014784698,0.028976572,-0.007031281,-0.019881536,0.047619029,0.014028935,0.008724791,0.02,363.17,424.1052288,125.2047754,123.67
2020-02-03,0.061982101,-0.013586957,0.041033435,0.048039216,-0.003623188,-0.013930144,0.008881712,0.040992998,0.005141388,0.030522088,0.047475183,-0.017351735,0.006493506,0.004996256,-0.027498203,0.042751527,0.086587455,0.001694873,0.0098644,0.033998187,0.03258052,0.02,360.03,416.1809266,122.8962815,119.62
2020-01-27,-0.013729977,-0.018142978,-0.00161845,-0.019230769,-0.007843137,0.014021604,0.004868154,0.004604169,-0.009548059,0.063193851,-0.030949394,0.00729681,-0.077844311,0.01698776,-0.054063244,-0.018921476,-0.04279528,0.026086978,0.015200322,-0.023029229,0.001916522,-0.01,348.67,408.1312699,120.7541905,117.95
2020-01-20,0.023076923,0.077940682,0.051254785,0.021811751,-0.013221541,0.027315408,0.004073361,0.012168285,0.033892728,-0.008467401,0,0.03096571,-0.005952381,0.040726158,0.00684697,0.024555735,-0.025600375,0.042138673,0.004310309,0.021719457,-0.025455676,0.02,348,411.5358371,121.388922,121.12
2020-01-13,0.049122807,0.065257409,0.046749777,0.053405092,0.052613714,0.036267138,0.044680809,0.041526224,0.0298204,0.011996572,-0.002503129,0.037951698,-0.001980198,0.040443391,0.006373816,0.062843407,0.01690818,-0.019111133,0.042501404,-0.012952211,0.012196981,0.03,357.09,404.0695364,125.0032745,124
2020-01-06,-0.01384083,-0.036315375,-0.021137503,0.016731558,-0.036625245,0.000442478,-0.013434089,0.028567466,0.004424779,-0.025062657,-0.008684864,0.023605967,0.012024048,0.013440396,-0.003433476,0.08616188,-0.013763849,-0.023861129,0.022788184,-0.046016191,0.013317256,0,352.79,392.2640523,125.7866953,123.52
2019-12-30,-0.015332198,-0.019681586,-0.015447329,-0.008761865,-0.023315235,-0.006265802,-0.065515889,0.010226954,0,0.070661896,0.00290336,-0.009937449,0.020449898,-0.009030506,-0.013714866,-0.010701107,-0.026539598,-0.006465603,-0.003244856,0.00427899,0.007973178,-0.01,348.15,392.9318095,126.6620482,122.45
2019-12-23,0.012068966,0.024007131,0.0058265,0.005559052,-0.00445151,0.003862282,0.024929593,-0.009436581,-0.004067797,0.013599275,0.011325503,-0.011101019,-0.00811359,-0.000824078,-0.00185905,0.002218935,0.003879979,0.013986102,-0.016519636,0.002574003,-0.000435882,0,345.4,395.4116891,125.6811043,122.85
2019-12-16,0.024373013,0.032119915,0.030006668,0.01511925,-0.004746835,0.005771365,0.024299834,0.040577617,0.011312993,-0.027336861,0.01403658,0.038163631,0.055674518,0.024308977,0.003731976,0.040800616,-0.006935479,0.003508772,-0.0028079,0.014801916,0.005383415,0.02,345.55,394.0823693,122.5281129,120.64
2019-12-09,0.070726172,0.045745322,0.025763794,0.016670275,0.090783569,0.003787879,-0.002465037,0.022140221,-0.001027397,0.021621622,0.046749777,-0.003389211,0.017429194,0.010921951,0.008209338,-0.006880734,0.045100639,-0.033488809,0.008114663,-0.003902862,0.017904916,0.02,343.7,387.5562978,118.7392263,117.07
2019-12-02,0.016923077,0.000320019,-0.017473118,-0.023983096,0.004159445,0.018033345,-0.013776337,-0.011814469,0.016713092,-0.015084295,0.028859368,0.002075491,0.08254717,0.002437738,0.000513347,-0.037173353,0.018316053,0.048444444,-0.002635027,-0.008598452,0.007187748,0.01,337.65,380.2813191,116.9286324,117.36
2019-11-25,-0.00990099,0.027622472,0.006085193,0.036805784,0.030357143,0.01182006,0.019413508,0.015703704,0.022792023,-0.024242424,-0.00137237,-0.00730472,0.019230769,0.001885354,0.017055343,0.028387585,0.018657705,0.021334521,0.007585833,-0.004706889,-0.005520567,0.01,335.24,378.2236981,119.7093433,118.62
2019-11-18,0.003055768,0.004293322,0.006122449,-0.003384279,0.049082053,-0.016256491,0.021950105,-0.016321772,-0.022964509,0.002604167,-0.015758667,0.00964444,-0.007159905,0.008469467,-0.000174004,0.026816945,-0.02840909,-0.016517813,0.009186603,0.001285347,0.004326665,0,337.1,373.7903649,123.2697754,121.41
2019-11-11,0.0472,0.017815086,-0.016503122,0.029097854,0.038925652,-0.015230684,-0.009201129,-0.000582581,0.013041946,0,0.0202113,0.023219834,-0.068888889,0.042056916,0.013401516,-0.019062143,0.003257362,-0.075907611,0.025515191,0.006034483,0.011902004,0,335.65,373.4997049,123.5186943,123.39
2019-11-04,-0.031383185,0.013283358,-0.022667829,-0.010560249,-0.000389105,-0.046937911,-0.014020619,-0.009378156,-0.044781145,0.10982659,0.028341993,-0.02545727,0.032110092,-0.057825326,0.079162702,-0.053751804,0.054378936,-0.003289453,-0.033940101,0.070110701,0.003188376,0,331.7,372.1154173,123.5391026,121.79
2019-10-28,-0.008070715,-0.067936489,-0.004340278,0.007616487,0.022275259,-0.011002829,0.014219992,0.007412791,-0.005025126,0.153333333,0.006657156,-0.002820628,0.018691589,-0.004939193,0.009024578,0.005440696,-0.021288532,-0.006129955,0.006680722,-0.001841621,0.013419081,0.01,330.65,371.5055497,124.2648503,121.77
2019-10-21,-0.005731754,0.011560713,0.010304758,0.015468608,0.01946472,0.000839014,0.009712838,0.016548463,-0.001672241,0.004464286,0.097599165,0.003775009,0.031325301,0.018926394,0.044001203,0.007675439,0.013628586,0.019158663,0.015310097,0.004160888,0.011033695,0.02,326.27,369.3273083,124.7740663,122.04
2019-10-14,-0.000381971,-0.001282854,-0.009984806,-0.006665913,0.013147083,-0.006460352,0.007659574,-0.004705882,-0.005322688,0.018181818,0.036796537,-0.000942844,-0.009546539,0.012808243,0.009715616,0.014460512,0.03985828,-0.02,0.020367767,-0.016818182,0.01365088,0,322.71,363.2158359,124.3047332,121.43
2019-10-07,0.044692737,-0.007954184,-0.018534299,-0.001015801,0.037953092,-0.012349491,-0.013019698,0.006810779,0.01760325,0.026837806,0.010940919,-0.024287011,-0.07300885,-0.017338088,0.041750132,-0.045985143,0.094345758,-0.030662691,-0.000197746,0.021830005,0.009792634,0,318.36,361.5727877,125.1373748,120.25
2019-09-30,0.007639727,-0.012876904,-0.00318539,-0.010055866,-0.058232932,0.009453563,-0.001677191,-0.004715591,0.00991453,-0.05199115,-0.06591722,0.005922617,0.041474654,0.01007524,-0.021963291,-0.007373596,-0.037923567,-0.008823549,-0.034732823,-0.007834101,-0.012433879,-0.01,315.28,360.5198628,125.6485922,118.59
2019-09-23,0.006067961,0.023465085,0.015746333,-0.011049724,-0.057888763,0.010391519,0.011021619,0.031934307,0.012110727,-0.035218783,-0.024912805,0.015983434,-0.060606061,0.024543665,-0.011819849,0.011363636,-0.037402751,0.013916521,-0.015962404,0.013071895,-0.004828819,0,319.24,364.9507821,123.7485709,116.99
2019-09-16,0.043983284,-0.037735795,0.006731813,0.029227795,-0.043084721,0.014589989,0.008550706,-0.002427184,0.057059254,0.003211991,-0.014243615,0.029622419,0.002169197,0.03309074,0.011752577,0.077688481,-0.032145892,-0.05273068,0.044117647,-0.04375,-0.006496578,0.01,320.79,366.1452291,126.3198284,119.48
